,0
2295,1
2296,5
2297,5
2298,3
2299,5
2300,1
2301,5
2302,5
2303,7
2304,1
2305,5
2306,7
2307,3
2308,5
2309,1
2310,10
2311,1
2312,3
2313,1
2314,1
2315,3
2316,1
2317,5
2318,5
2319,7
2320,1
2321,1
2322,5
2323,7
2324,7
2325,10
2326,7
2327,7
2328,7
2329,7
2330,5
2331,3
2332,1
2333,1
2334,1
2335,7
2336,7
2337,5
2338,7
2339,1
2340,7
2341,7
2342,5
2343,1
2344,3
2345,5
2346,1
2347,5
2348,10
2349,1
2350,1
2351,1
2352,3
2353,7
2354,5
2355,5
2356,7
2357,5
2358,1
2359,3
2360,1
2361,1
2362,7
2363,1
2364,1
2365,1
2366,5
2367,7
2368,7
2369,7
2370,7
2371,1
2372,7
2373,3
2374,1
2375,1
2376,5
2377,1
2378,7
2379,1
2380,1
2381,1
2382,1
2383,5
2384,1
2385,3
2386,7
2387,10
2388,7
2389,5
2390,10
2391,1
2392,1
2393,3
2394,1
2395,5
2396,5
2397,7
2398,7
2399,5
2400,7
2401,1
2402,1
2403,5
2404,1
2405,1
2406,7
2407,3
2408,3
2409,3
2410,1
2411,1
2412,3
2413,3
2414,3
2415,7
2416,7
2417,7
2418,10
2419,7
2420,5
2421,1
2422,7
2423,5
2424,5
2425,1
2426,3
2427,5
2428,7
2429,1
2430,5
2431,5
2432,1
2433,7
2434,5
2435,7
2436,1
2437,7
2438,1
2439,5
2440,7
2441,5
2442,1
2443,3
2444,3
2445,5
2446,10
2447,5
2448,7
2449,1
2450,1
2451,3
2452,7
2453,1
2454,5
2455,5
2456,7
2457,1
2458,1
2459,1
2460,7
2461,1
2462,1
2463,7
2464,5
2465,5
2466,7
2467,10
2468,1
2469,7
2470,1
2471,1
2472,5
2473,1
2474,3
2475,1
2476,5
2477,5
2478,7
2479,1
2480,5
2481,7
2482,5
2483,1
2484,7
2485,5
2486,3
2487,5
2488,3
2489,7
2490,7
2491,7
2492,7
2493,5
2494,5
2495,5
2496,5
2497,5
2498,1
2499,1
2500,7
2501,1
2502,5
2503,3
2504,1
2505,7
2506,12
2507,7
2508,7
2509,1
2510,5
2511,1
2512,1
2513,1
2514,7
2515,1
2516,7
2517,5
2518,5
2519,3
2520,7
2521,7
2522,1
2523,10
2524,5
2525,5
2526,3
2527,7
2528,1
2529,3
